head,head_type,rel,tail,tail_type,position,time_text,source
毛泽东,Person,AUTHORED,为人民服务,Document,,1944年9月,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中国共产党第七次全国代表大会在延安举行,Event,OCCURRED_IN,延安,Location,,1945年4月23日-6月11日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
朱德,Person,AUTHORED,论解放区战场,Document,,1945年4月23日-6月11日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
刘少奇,Person,AUTHORED,关于修改党章的报告,Document,,1945年4月23日-6月11日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
周恩来,Person,AUTHORED,论统一战线,Document,,1945年4月23日-6月11日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
包括中共代表董必武在内的中国代表团出席在美国旧金山召开的联合国制宪会议，并在《联合国宪章》上签字,Event,OCCURRED_IN,美国,Location,,1945年4月25日-6月26日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
毛泽东,Person,AUTHORED,对日寇的最后一战,Document,,1945年8月9日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
政治协商会议在重庆召开,Event,OCCURRED_IN,重庆,Location,,1946年1月10日-31日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中共中央在延安召开会议，决定用“打倒蒋介石”作为最后解决国内问题的方针,Event,OCCURRED_IN,延安,Location,,1946年11月21日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中央政治局会议在陕北清涧枣林沟召开，讨论中央机关行动问题,Event,OCCURRED_IN,陕北,Location,,1947年3月29日-30日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
全国土地会议在河北建屏西柏坡(今属平山)召开,Event,OCCURRED_IN,河北,Location,,1947年7月17日-9月13日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中共中央在陕北靖边小河村召开扩大会议，着重讨论战略进攻的部署和解放区土地改革、财政金融工作等问题,Event,OCCURRED_IN,陕北,Location,,1947年7月21日-23日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中共中央在陕北米脂杨家沟召开扩大会议(十二月会议),Event,OCCURRED_IN,陕北,Location,,1947年12月25日-28日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中央政治局扩大会议在西柏坡召开,Event,OCCURRED_IN,西柏坡,Location,,1948年9月8日-13日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
毛泽东,Person,AUTHORED,将革命进行到底,Document,,1948年12月30日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中共七届二中全会在西柏坡召开,Event,OCCURRED_IN,西柏坡,Location,,1949年3月5日-13日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
毛泽东,Person,LED,毛泽东率领中央机关离开西柏坡，向北平进发,Event,,1949年3月23日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
毛泽东,Person,AUTHORED,向全国进军的命令,Document,,1949年4月21日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
毛泽东,Person,AUTHORED,论人民民主专政,Document,,1949年6月30日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中国人民政治协商会议第一届全体会议在北平举行,Event,OCCURRED_IN,北京,Location,,1949年9月21日-30日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
